order_id,"status (0=PENDING, 1=ORDER PLACED, 2 = DELIVERED, 3= UNDELIVERED, 4= REJECT)","remarks(not mandatory) 1=Order confirmation not received, 2=Address Confirmation not received, 3=Product Unavailability & Alternatives, 4=Customer not answering the call,5=Wrong/incomplete delivery address, 6=Wrong mobile number",order_tracking_url,tracking_ord_id,delivery_date
SS00003491,1,,https://www.dtdc.com/in,D1014243304,14-05-2026
SS00003490,1,,https://bluedart.com,21029367236,07-05-2026
SS00003489,1,,https://www.amazon.in,1,18-05-2026
SS00003485,1,,https://www.dtdc.com/in,D1008584886,14-05-2026
SS00003474,1,,https://www.dtdc.com/in,D1014243133,05-05-2026
SS00003473,1,,https://www.dtdc.com/in,D1008584653,09-05-2026
SS00003472,1,,https://www.allcargologistics.com,226802569,15-05-2026
SS00003464,1,,https://www.delhivery.com,4344010010931,13-05-2026
SS00003457,1,,https://www.delhivery.com,4344010010872,13-05-2026
SS00003496,1,,https://www.dtdc.com/in,D1008584678,09-05-2026
SS00003482,1,,https://www.dtdc.com/in,D1008584651,09-05-2026
SS00003479,1,,https://www.dtdc.com/in,D1008584694,09-05-2026
SS00003476,1,,https://www.dtdc.com/in,D1008584652,09-05-2026
SS00003466,1,,https://www.dtdc.com/in,D1008584654,09-05-2026
SS00003465,1,,https://www.dtdc.com/in,D1008584630,09-05-2026
SS00003462,1,,https://www.dtdc.com/in,D1008584655,09-05-2026
SS00003460,1,,https://www.dtdc.com/in,D1008584656,09-05-2026
SS00003458,1,,https://www.dtdc.com/in,D1008584657,09-05-2026
