order_id,"status (1=ORDER PLACED, 2 = DELIVERED, 3= UNDELIVERED, 4= REJECT)",remarks(not mandatory),order_tracking_url,tracking_ord_id,delivery_date
SS00003218,4,Negative points balance,,,
SS00003179,4,No points available for TDS,,,
SS00003178,4,No points available for TDS,,,
SS00003173,4,Negative points balance,,,
SS00003138,4,No points available for TDS,,,
SS00003027,4,No points available for TDS,,,
SS00003022,4,Rejected as product is unavailable,,,
SS00003017,4,No points available for TDS,,,
SS00003016,4,No points available for TDS,,,
SS00003012,4,Rejected as product is unavailable,,,
SS00002984,4,Rejected as product value increased,,,
SS00002982,4,Rejected as product is unavailable,,,
SS00002974,4,Rejected as product value increased,,,
SS00002971,4,Rejected as product value increased,,,
SS00002969,4,No points available for TDS,,,
SS00002961,4,Negative points balance,,,
SS00002941,4,Rejected as product value increased,,,
SS00002940,4,Rejected as product value increased,,,
SS00002934,4,Rejected as product value increased,,,
SS00002932,4,Negative points balance,,,
SS00002928,4,Negative points balance,,,
SS00002918,4,Rejected as product value increased,,,
SS00002914,4,Rejected as product value increased,,,
SS00002913,4,Negative points balance,,,
SS00002890,4,Rejected as product value increased,,,
SS00002889,4,No points available for TDS,,,
SS00003288,4,Rejected as product is unavailable,,,
SS00003067,4,Rejected as product value increased,,,
