order_id,"status (1=ORDER PLACED, 2 = DELIVERED, 3= UNDELIVERED, 4= REJECT)",remarks(not mandatory),order_tracking_url,tracking_ord_id,delivery_date
SS00003332,2,,www.amazon.in,1,03-03-2026
SS00003342,2,,www.amazon.in,1,03-03-2026
SS00003336,1,,,,
SS00003335,1,,,,
SS00003334,1,,,,
SS00003333,1,,,,
SS00003338,1,,,,
SS00003337,1,,,,
SS00003343,1,,,,
SS00003341,1,,,,
SS00003344,1,,,,
SS00003345,1,,,,
SS00003352,1,,,,
SS00003351,1,,,,
SS00003350,1,,,,
SS00003349,1,,,,
SS00003348,1,,,,
SS00003347,1,,,,
SS00003346,1,,,,
SS00003358,1,,,,
SS00003357,1,,,,
SS00003356,1,,,,
SS00003355,1,,,,
SS00003353,1,,,,
SS00003365,1,,,,
SS00003364,1,,,,
SS00003363,1,,,,
SS00003362,1,,,,
SS00003360,1,,,,
SS00003359,1,,,,
SS00003368,1,,,,
SS00003367,1,,,,
SS00003388,1,,,,
SS00003386,1,,,,
SS00003385,1,,,,
SS00003384,1,,,,
SS00003383,1,,,,
SS00003382,1,,,,
SS00003379,1,,,,
SS00003378,1,,,,
SS00003377,1,,,,
SS00003376,1,,,,
SS00003371,1,,,,
SS00003370,1,,,,
SS00003369,1,,,,
