order_id,"status (1=ORDER PLACED, 2 = DELIVERED, 3= UNDELIVERED, 4= REJECT)",remarks(not mandatory),order_tracking_url,tracking_ord_id,delivery_date
SS00003172,2,,,,26-01-2026
SS00003171,2,,,,27-01-2026
SS00003162,2,,,,28-12-2025
SS00003161,2,,,,28-12-2025
SS00003147,2,,,,30-12-2025
SS00003130,2,,,,24-01-2026
SS00003128,2,,,,29-12-2025
SS00003125,2,,,,28-12-2025
SS00003064,2,,,,28-01-2026
SS00003010,2,,,,26-01-2026
SS00003009,2,,,,28-01-2026
SS00003006,2,,,,01-01-2026
SS00003001,2,,,,07-01-2026
SS00002976,2,,,,24-12-2025
SS00002970,2,,,,03-01-2026
SS00002965,2,,,,31-01-2026
SS00002938,2,,,,28-12-2025
SS00002935,2,,,,24-01-2026
SS00002887,2,,,,26-01-2026
SS00002894,2,,,,30-01-2026
SS00003174,4,Out of Stock,,,
SS00003180,1,,www.amazon.in,AWN,
SS00003168,1,,www.amazon.in,AWN,
SS00003167,1,,www.amazon.in,AWN,
SS00003166,1,,www.amazon.in,AWN,
SS00003165,1,,www.amazon.in,AWN,
SS00003164,1,,www.amazon.in,AWN,
SS00003160,1,,www.amazon.in,AWN,
SS00003110,1,,www.amazon.in,AWN,
SS00002981,1,,www.amazon.in,AWN,
SS00002973,1,,www.amazon.in,AWN,
SS00002962,1,,www.amazon.in,AWN,
SS00002953,1,,www.amazon.in,AWN,
SS00002945,1,,www.amazon.in,AWN,
