order_id,"status (1=ORDER PLACED, 2 = DELIVERED, 3= UNDELIVERED, 4= REJECT)",remarks(not mandatory),order_tracking_url,tracking_ord_id,delivery_date
SS00003332,2,,,,03-03-2026
SS00003336,2,,,,10-03-2026
SS00003335,2,,,,11-03-2026
SS00003334,2,,,,09-03-2026
SS00003333,2,,,,09-03-2026
SS00003338,2,,,,16-03-2026
SS00003337,2,,,,17-03-2026
SS00003343,2,,,,16-03-2026
SS00003342,2,,,,03-03-2026
SS00003341,2,,,,16-03-2026
SS00003344,2,,,,16-03-2026
SS00003345,2,,,,28-03-2026
SS00003352,2,,,,17-03-2026
SS00003351,2,,,,07-03-2026
SS00003350,2,,,,07-03-2026
SS00003349,2,,,,07-03-2026
SS00003348,2,,,,07-03-2026
SS00003347,2,,,,07-03-2026
SS00003358,2,,,,14-03-2026
SS00003357,2,,,,17-03-2026
SS00003356,2,,,,17-03-2026
SS00003355,2,,,,24-03-2026
SS00003353,2,,,,14-03-2026
SS00003365,2,,,,14-03-2026
SS00003364,2,,,,16-03-2026
SS00003363,2,,,,09-03-2026
SS00003362,2,,,,10-03-2026
SS00003360,2,,,,14-03-2026
SS00003359,2,,,,25-03-2026
SS00003368,2,,,,04-04-2026
SS00003367,2,,,,30-03-2026
SS00003366,2,,,,31-03-2026
