order_id,"status (1=ORDER PLACED, 2 = DELIVERED, 3= UNDELIVERED, 4= REJECT)",remarks(not mandatory),order_tracking_url,tracking_ord_id,delivery_date
SS00003329,4,Rejected as product is unavailable,,,
SS00003326,4,Rejected as product is unavailable,,,
SS00003292,4,Rejected due to address issue,,,
SS00003291,4,Rejected due to address issue,,,
SS00003289,4,Rejected due to address issue,,,
SS00003286,4,Rejected as product is unavailable,,,
SS00003229,4,Rejected as product is unavailable,,,
SS00003127,4,Rejected as product value increased,,,
SS00003053,4,TDS point not available,,,
SS00003015,4,Rejected as product is unavailable,,,
SS00002980,4,Rejected as product is unavailable,,,
SS00002956,4,Rejected as product value increased,,,
SS00002939,4,Rejected as product value increased,,,
SS00002975,4,Rejected as product value increased,,,
