order_id,"status (1=ORDER PLACED, 2 = DELIVERED, 3= UNDELIVERED, 4= REJECT)",remarks(not mandatory),order_tracking_url,tracking_ord_id,delivery_date
SS00003180,1,Will be delivered by 27-01-2026,www.amazon.in,1,27-01-2026
SS00003174,1,Will be delivered by 27-01-2027,www.amazon.in,1,27-01-2026
SS00003172,1,Will be delivered by 27-01-2028,www.amazon.in,1,27-01-2026
SS00003171,1,Will be delivered by 27-01-2029,www.amazon.in,1,27-01-2026
SS00003168,1,Will be delivered by 27-01-2030,www.amazon.in,1,27-01-2026
SS00003167,1,Will be delivered by 27-01-2031,www.amazon.in,1,27-01-2026
SS00003166,1,Will be delivered by 27-01-2032,www.amazon.in,1,27-01-2026
SS00003165,1,Will be delivered by 27-01-2033,www.amazon.in,1,27-01-2026
SS00003164,1,Will be delivered by 27-01-2034,www.amazon.in,1,27-01-2026
SS00003160,1,Will be delivered by 27-01-2035,www.amazon.in,1,27-01-2026
SS00003159,1,Will be delivered by 27-01-2036,www.amazon.in,1,27-01-2026
SS00003130,1,Will be delivered by 27-01-2037,www.amazon.in,1,27-01-2026
SS00003110,1,Will be delivered by 27-01-2038,www.amazon.in,1,27-01-2026
SS00003064,1,Will be delivered by 27-01-2039,www.amazon.in,1,27-01-2026
SS00003010,1,Will be delivered by 27-01-2040,www.amazon.in,1,27-01-2026
SS00003009,1,Will be delivered by 27-01-2041,www.amazon.in,1,27-01-2026
SS00002981,1,Will be delivered by 27-01-2042,www.amazon.in,1,27-01-2026
SS00002973,1,Will be delivered by 27-01-2043,www.amazon.in,1,27-01-2026
SS00002965,1,Will be delivered by 27-01-2044,www.amazon.in,1,27-01-2026
SS00002962,1,Will be delivered by 27-01-2045,www.amazon.in,1,27-01-2026
SS00002954,1,Will be delivered by 27-01-2046,www.amazon.in,1,27-01-2026
SS00002953,1,Will be delivered by 27-01-2047,www.amazon.in,1,27-01-2026
SS00002945,1,Will be delivered by 27-01-2048,www.amazon.in,1,27-01-2026
SS00002944,1,Will be delivered by 27-01-2049,www.amazon.in,1,27-01-2026
SS00002935,1,Will be delivered by 27-01-2050,www.amazon.in,1,27-01-2026
SS00002912,1,Will be delivered by 27-01-2051,www.amazon.in,1,27-01-2026
SS00002887,1,Will be delivered by 27-01-2052,www.amazon.in,1,27-01-2026
SS00002894,1,Will be delivered by 27-01-2053,www.amazon.in,1,27-01-2026
