order_id,"status (1=ORDER PLACED, 2 = DELIVERED, 3= UNDELIVERED, 4= REJECT)",remarks(not mandatory),order_tracking_url,tracking_ord_id,delivery_date
SS00003180,2,,,,25-01-2026
SS00003172,2,,,,26-01-2026
SS00003171,2,,,,27-01-2026
SS00003168,2,,,,30-01-2026
SS00003167,2,,,,29-01-2026
SS00003166,2,,,,28-01-2026
SS00003165,2,,,,28-01-2026
SS00003164,2,,,,30-01-2026
SS00003162,2,,,,28-12-2025
SS00003161,2,,,,28-12-2025
SS00003160,2,,,,02-02-2026
SS00003159,2,,,,00-01-1900
SS00003147,2,,,,30-12-2025
SS00003130,2,,,,24-01-2026
SS00003128,2,,,,29-12-2025
SS00003125,2,,,,28-12-2025
SS00003110,2,,,,02-02-2026
SS00003064,2,,,,28-01-2026
SS00003010,2,,,,26-01-2026
SS00003009,2,,,,28-01-2026
SS00003006,2,,,,01-01-2026
SS00003001,2,,,,07-01-2026
SS00002981,2,,,,29-01-2026
SS00002976,2,,,,24-12-2025
SS00002973,2,,,,02-02-2026
SS00002970,2,,,,03-01-2026
SS00002965,2,,,,31-01-2026
SS00002962,2,,,,22-01-2026
SS00002953,2,,,,21-01-2026
SS00002945,2,,,,04-02-2026
SS00002938,2,,,,28-12-2025
SS00002935,2,,,,24-01-2026
SS00002912,2,,,,07-02-2026
SS00002887,2,,,,26-01-2026
