Title,Description,"Gift Type (1 = GIFT, 2 = VOUCHER)",Point,Image URL
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 8GB RAM, 128GB Storage)","OnePlus Nord CE 3 Lite 5G (Pastel Lime, 8GB RAM, 128GB Storage)",1,61600,https://m.media-amazon.com/images/I/61QRgOgBx0L._SX569_.jpg
Panasonic 108 cm (43 inches) 4K Ultra HD Smart LED Google TV TH-43MX660DX (Black),Panasonic 108 cm (43 inches) 4K Ultra HD Smart LED Google TV TH-43MX660DX (Black),1,86210,https://m.media-amazon.com/images/I/41BqvH8jFUL._SY300_SX300_QL70_FMwebp_.jpg
"Blue Star 1.3 Ton 3 Star Inverter Split AC with (Copper, Smart Ready, Convertible 5 in 1 Cooling, Multi Sensors, Dust Filters, Blue Fins, 2023Model, IC315YNU,White)","Blue Star 1.3 Ton 3 Star Inverter Split AC with (Copper, Smart Ready, Convertible 5 in 1 Cooling, Multi Sensors, Dust Filters, Blue Fins, 2023Model, IC315YNU,White)",1,93770,https://m.media-amazon.com/images/I/21XSRR81RiL._SX342_SY445_QL70_FMwebp_.jpg
"HP 15, 13th Gen Intel Core i3-1315U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Grey, 1.59kg), Anti-Glare, Micro-Edge,15.6-inch(39.6cm), FHD Laptop, Intel UHD Graphics, 1080p FHD Camera, fd0006TU","HP 15, 13th Gen Intel Core i3-1315U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Grey, 1.59kg), Anti-Glare, Micro-Edge,15.6-inch(39.6cm), FHD Laptop, Intel UHD Graphics, 1080p FHD Camera, fd0006TU",1,100770,https://m.media-amazon.com/images/I/6179wxBERlL._SX522_.jpg
Apple iPhone 15 (128 GB) - Pink,Apple iPhone 15 (128 GB) - Pink,1,167720,https://m.media-amazon.com/images/I/31vz6yNQ6+L._SY300_SX300_QL70_FMwebp_.jpg
"Samsung 236 L, 2 Star, Digital Inverter, Frost Free Double Door Refrigerator (RT28C3032GS/HL, Gray Silver)","Samsung 236 L, 2 Star, Digital Inverter, Frost Free Double Door Refrigerator (RT28C3032GS/HL, Gray Silver)",1,64930,https://m.media-amazon.com/images/I/617NKbDmpVL._SY606_.jpg
"Samsung 183 L, 4 Star, Digital Inverter, Direct-Cool Single Door Refrigerator (RR20C1824CR/HL, Red, Camellia Purple, Base Stand Drawer)","Samsung 183 L, 4 Star, Digital Inverter, Direct-Cool Single Door Refrigerator (RR20C1824CR/HL, Red, Camellia Purple, Base Stand Drawer)",1,45890,https://m.media-amazon.com/images/I/41XsfN7KKcL._SY445_SX342_QL70_FMwebp_.jpg
LG 139 cm (55 inches) UR75 Series 4K Ultra HD Smart LED TV 55UR75006LC,LG 139 cm (55 inches) UR75 Series 4K Ultra HD Smart LED TV 55UR75006LC,1,123170,https://m.media-amazon.com/images/I/51zEOeErJ5L._SX300_SY300_QL70_FMwebp_.jpg
"MILTON Aqua 1000 Stainless Steel Water Bottle 950 ml, Single Walled, ISI Certified I Leak Proof Lid, Rust Proof I For School, Office, Gym I Silver","MILTON Aqua 1000 Stainless Steel Water Bottle 950 ml, Single Walled, ISI Certified I Leak Proof Lid, Rust Proof I For School, Office, Gym I Silver",1,790,https://m.media-amazon.com/images/I/31m4Br0LzaL._SY300_SX300_QL70_FMwebp_.jpg
Cello Puro Steel-X Benz 900 | Leak Proof| Wide Mouth & Easy to Open | Insulated Inner Steel Outer Plastic Water Bottle | 730ml | Black,Cello Puro Steel-X Benz 900 | Leak Proof| Wide Mouth & Easy to Open | Insulated Inner Steel Outer Plastic Water Bottle | 730ml | Black,1,1120,https://m.media-amazon.com/images/I/61xZaGaH11L._SX569_.jpg
"MILTON Shine 1000 Stainless Steel Water Bottle, 900 ml, Silver | Leak Proof | Office Bottle | Sports Bottle | Home | Kitchen | Hiking | Treking Bottle | Travel Bottle","MILTON Shine 1000 Stainless Steel Water Bottle, 900 ml, Silver | Leak Proof | Office Bottle | Sports Bottle | Home | Kitchen | Hiking | Treking Bottle | Travel Bottle",1,1090,https://m.media-amazon.com/images/I/31oxZ1MZmLL._SY300_SX300_QL70_FMwebp_.jpg
Dhara Stainless Steel Fit N Fresh Lunch Tiffin Box for Kids 2 Pieces 400 ml Each Green | Leak Proof Airtight Lunch Containers Box for School Kids,Dhara Stainless Steel Fit N Fresh Lunch Tiffin Box for Kids 2 Pieces 400 ml Each Green | Leak Proof Airtight Lunch Containers Box for School Kids,1,1050,https://m.media-amazon.com/images/I/7190RVF2mxL._SX569_.jpg
"Borosil - Stainless Steel Hydra Trek - Vacuum Insulated Flask Water bottle, Black, 700ML","Borosil - Stainless Steel Hydra Trek - Vacuum Insulated Flask Water bottle, Black, 700ML",1,2550,https://m.media-amazon.com/images/I/31BxsOuSuiL._SY300_SX300_QL70_FMwebp_.jpg
Prestige 1.5 Litres Electric Kettle (PKOSS 1.5)|1500W | Silver - Black| Automatic Cut-off | Stainless Steel | Rotatable Base | Power Indicator | Single-Touch Lid Locking,Prestige 1.5 Litres Electric Kettle (PKOSS 1.5)|1500W | Silver - Black| Automatic Cut-off | Stainless Steel | Rotatable Base | Power Indicator | Single-Touch Lid Locking,1,1900,https://m.media-amazon.com/images/I/51Q11RNy8dL._SX569_.jpg
Bajaj Rex Mixer Grinder 500W|Mixie For Kitchen With Nutri-Pro Features|3 SS Mixer Jars For Heavy Duty Grinding|Adjustable Speed Control|Multifunctional Blade System|1 Year Warranty By Bajaj|White,Bajaj Rex Mixer Grinder 500W|Mixie For Kitchen With Nutri-Pro Features|3 SS Mixer Jars For Heavy Duty Grinding|Adjustable Speed Control|Multifunctional Blade System|1 Year Warranty By Bajaj|White,1,5600,https://m.media-amazon.com/images/I/51Ck4wmBbSL._SX569_.jpg
Glen 3 Burner Toughened Glass Top | LPG Gas Stoves | Fuel Efficient Brass Burners | Black | Manual Ignition | ISI Certified| Drip Trays | Ergonomic Knobs | 2 Year Warranty | 1030 GT BB BL,Glen 3 Burner Toughened Glass Top | LPG Gas Stoves | Fuel Efficient Brass Burners | Black | Manual Ignition | ISI Certified| Drip Trays | Ergonomic Knobs | 2 Year Warranty | 1030 GT BB BL,1,10640,https://m.media-amazon.com/images/I/51ZFNjHqE8L._SX569_.jpg
Crompton Amica Classic 15L Storage Water Heater (Geyser),Crompton Amica Classic 15L Storage Water Heater (Geyser),1,28000,https://m.media-amazon.com/images/I/31tM+tmSYBL._SY300_SX300_QL70_FMwebp_.jpg
Shri & Sam Stainless Steel Dinner Set Shagun (70 Pcs Set),Shri & Sam Stainless Steel Dinner Set Shagun (70 Pcs Set),1,9820,https://m.media-amazon.com/images/I/41c+taBRTeL._SY300_SX300_QL70_FMwebp_.jpg
