Title,Description,"Gift Type (1 = GIFT, 2 = VOUCHER)",Point,Image_Name,Category_Name
Nu-Republic Backpack and Luggage Triphop Voyager Nomad Style ,NA,1,8564,NC139.jpg,Lifestyle
Nu-Republic Backpack and Luggage Triphop Voyager Drift Crafted ,NA,1,7554,NC140.jpg,Lifestyle
Nu-Republic Backpack and Luggage Triphop Voyager Edge ,NA,1,6546,NC141.jpg,Lifestyle
Nu-Republic Backpack and Luggage Triphop Voyager Evo ,NA,1,6096,NC142.jpg,Lifestyle
Nu-Republic Trimmer Dropcut & Juicy- Groove Pro Styler- Hair Trimmer,NA,1,2106,NC143.jpg,Lifestyle
Nu-Republic Headphone Nu Republic Starboy 3 ,NA,1,2710,NC080.jpg,Gadgets
Nu-Republic Trimmer Dropcut & Juicy – Groove 7 in One Hair Trimmer ,NA,1,1904,NC145.jpg,Lifestyle
Nu-Republic Trimmer Dropcut & Juicy Groove Flex Hair Trimmer ,NA,1,2486,NC146.jpg,Lifestyle
SUJATA Ceiling Fan SUJATA KINETICA 1200mm ,NA,1,9552,NC147.jpg,Home Appliances
WHIRLPOOL Air Conditioner (Split 1.5 T 3S),NA,1,72144,NC148.jpg,Home Appliances
WHIRLPOOL WHIRLPOOL NEO DOUBLE DOOR -235 Refrigrator,NA,1,53702,NC149.jpg,Home Appliances
WHIRLPOOL WHIRLPOOL SINGLE DOOR - 184 Refrigrator,NA,1,33684,NC150.jpg,Home Appliances
WHIRLPOOL Washing Machine-Fully Automatic 7.5kg,NA,1,41190,NC151.jpg,Home Appliances
WHIRLPOOL Washing Machine-Semi Automatic 7.5kg,NA,1,28588,NC152.jpg,Home Appliances
Noise Noise Noise Evolve 3 Watch ,NA,1,3252,NC153.jpg,Lifestyle
Boat Joy Aairdopes ,NA,1,1906,NC154.jpg,Gadgets
Boat Stone UNO,NA,1,1682,NC155.jpg,Gadgets
Kenstar Air Fryer Kenstar Opal Neo 4.5L 1300W,NA,1,7568,NC156.jpg,Kitchen Appliances
Kenstar Cooler 110Ltr Desert Personal Mahakool HC,NA,1,33612,NC157.jpg,Home Appliances
Kenstar Hand Blender 350W - Smash SS,NA,1,2522,NC158.jpg,Kitchen Appliances
Kenstar Induction Cooktop - Infra Eco,NA,1,5494,NC159.jpg,Kitchen Appliances
Kenstar Rice Cooker 2.8Ltr - My Cook Plus,NA,1,6782,NC160.jpg,Kitchen Appliances
Kenstar Barbeque - BBQ 4,NA,1,8182,NC161.jpg,Kitchen Appliances
Kenstar 15Ltr Storage Water Heater - Aqualia 15L,NA,1,11772,NC162.jpg,Home Appliances
Kenstar 1200W Halogen Room Heater,NA,1,4146,NC163.jpg,Home Appliances
Agaro Vaccum Cleaner CV1077 Car,NA,1,2856,NC164.jpg,Home Appliances
Lifelong Rechargeable Water Teeth Flosser Cordless LLDC36 ,NA,1,3476,NC165.jpg,Lifestyle
Lifelong  Digital Wieghing Scale Rajasthan Urban LLWS63,NA,1,1120,NC166.jpg,Gadgets
HP Laptop 14s Intel Celeron Dual Core N4500 ,NA,1,94622,NC167.jpg,Electronics
