order_id,"status (1=ORDER PLACED, 2 = DELIVERED, 3= UNDELIVERED, 4= REJECT)",remarks(not mandatory),order_tracking_url,tracking_ord_id,delivery_date
3172,2,,,,26-01-2026
3171,2,,,,27-01-2026
3162,2,,,,28-12-2025
3161,2,,,,28-12-2025
3147,2,,,,30-12-2025
3130,2,,,,24-01-2026
3128,2,,,,29-12-2025
3125,2,,,,28-12-2025
3064,2,,,,28-01-2026
3010,2,,,,26-01-2026
3009,2,,,,28-01-2026
3006,2,,,,1-01-2026
3001,2,,,,7-01-2026
2976,2,,,,24-12-2025
2970,2,,,,3-01-2026
2965,2,,,,31-01-2026
2938,2,,,,28-12-2025
2935,2,,,,24-01-2026
2887,2,,,,26-01-2026
2894,2,,,,30-01-2026
3174,4,Out of Stock,,,
3180,1,,www.amazon.in,AWN,
3168,1,,www.amazon.in,AWN,
3167,1,,www.amazon.in,AWN,
3166,1,,www.amazon.in,AWN,
3165,1,,www.amazon.in,AWN,
3164,1,,www.amazon.in,AWN,
3160,1,,www.amazon.in,AWN,
3110,1,,www.amazon.in,AWN,
2981,1,,www.amazon.in,AWN,
2973,1,,www.amazon.in,AWN,
2962,1,,www.amazon.in,AWN,
2953,1,,www.amazon.in,AWN,
2945,1,,www.amazon.in,AWN,
