order_id,"status (1=ORDER PLACED, 2 = DELIVERED, 3= UNDELIVERED, 4= REJECT)",remarks(not mandatory),order_tracking_url,tracking_ord_id,delivery_date
SS00003450,2,,,,21-04-2026
SS00003446,2,,,,22-04-2026
SS00003439,2,,,,23-04-2026
SS00003438,2,,,,21-04-2026
SS00003436,2,,,,11-04-2026
SS00003433,2,,,,24-04-2026
SS00003429,2,,,,21-04-2026
SS00003427,2,,,,23-04-2026
SS00003418,2,,,,23-04-2026
SS00003417,2,,,,23-04-2026
SS00003414,2,,,,23-04-2026
SS00003409,2,,,,13-04-2026
SS00003408,2,,,,22-04-2026
SS00003401,2,,,,22-04-2026
SS00003389,2,,,,23-04-2026
SS00003385,2,,,,13-04-2026
SS00003384,2,,,,24-04-2026
SS00003378,2,,,,24-04-2026
SS00003377,2,,,,21-04-2026
SS00003376,2,,,,14-04-2026
SS00003375,2,,,,22-04-2026
SS00003373,2,,,,20-04-2026
SS00003372,2,,,,13-04-2026
SS00003370,2,,,,24-04-2026
