order_id,"status (1=ORDER PLACED, 2 = DELIVERED, 3= UNDELIVERED, 4= REJECT)",remarks(not mandatory),order_tracking_url,tracking_ord_id,delivery_date
SS00003456,2,,,,29-04-2026
SS00003452,2,,,,28-04-2026
SS00003451,2,,,,28-04-2026
SS00003449,2,,,,26-04-2026
SS00003448,2,,,,25-04-2026
SS00003441,2,,,,26-04-2026
SS00003440,2,,,,24-04-2026
SS00003437,2,,,,28-04-2026
SS00003432,2,,,,27-04-2026
SS00003431,2,,,,25-04-2026
SS00003428,2,,,,25-04-2026
SS00003426,2,,,,25-04-2026
SS00003423,2,,,,25-04-2026
SS00003422,2,,,,25-04-2026
SS00003421,2,,,,25-04-2026
SS00003420,2,,,,25-04-2026
SS00003415,2,,,,25-04-2026
SS00003412,2,,,,28-04-2026
SS00003411,2,,,,24-04-2026
SS00003410,2,,,,24-04-2026
SS00003406,2,,,,30-04-2026
SS00003405,2,,,,29-04-2026
SS00003404,2,,,,25-04-2026
SS00003402,2,,,,02-05-2026
SS00003400,2,,,,28-04-2026
SS00003397,2,,,,25-04-2026
SS00003396,2,,,,27-04-2026
SS00003393,2,,,,25-04-2026
SS00003391,2,,,,25-04-2026
SS00003386,2,,,,27-04-2026
SS00003383,2,,,,28-04-2026
SS00003382,2,,,,27-04-2026
SS00003381,2,,,,28-04-2026
SS00003380,2,,,,28-04-2026
SS00003374,2,,,,24-04-2026
SS00003369,2,,,,30-04-2026
