order_id,"status (1=ORDER PLACED, 2 = DELIVERED, 3= UNDELIVERED, 4= REJECT)",remarks(not mandatory),order_tracking_url,tracking_ord_id,delivery_date
SS00003332,2,,www.amazon.in,1,03-03-2026
SS00003342,2,,www.amazon.in,1,03-03-2026
SS00003336,1,,www.amazon.in,,
SS00003335,1,,www.amazon.in,,
SS00003334,1,,www.amazon.in,,
SS00003333,1,,www.amazon.in,,
SS00003338,1,,www.amazon.in,,
SS00003337,1,,www.amazon.in,,
SS00003343,1,,www.amazon.in,,
SS00003341,1,,www.amazon.in,,
SS00003344,1,,www.amazon.in,,
SS00003345,1,,www.amazon.in,,
SS00003352,1,,www.amazon.in,,
SS00003351,1,,www.amazon.in,,
SS00003350,1,,www.amazon.in,,
SS00003349,1,,www.amazon.in,,
SS00003348,1,,www.amazon.in,,
SS00003347,1,,www.amazon.in,,
SS00003346,1,,www.amazon.in,,
SS00003358,1,,www.amazon.in,,
SS00003357,1,,www.amazon.in,,
SS00003356,1,,www.amazon.in,,
SS00003355,1,,www.amazon.in,,
SS00003353,1,,www.amazon.in,,
SS00003365,1,,www.amazon.in,,
SS00003364,1,,www.amazon.in,,
SS00003363,1,,www.amazon.in,,
SS00003362,1,,www.amazon.in,,
SS00003360,1,,www.amazon.in,,
SS00003359,1,,www.amazon.in,,
SS00003368,1,,www.amazon.in,,
SS00003367,1,,www.amazon.in,,
SS00003388,1,,www.amazon.in,,
SS00003386,1,,www.amazon.in,,
SS00003385,1,,www.amazon.in,,
SS00003384,1,,www.amazon.in,,
SS00003383,1,,www.amazon.in,,
SS00003382,1,,www.amazon.in,,
SS00003379,1,,www.amazon.in,,
SS00003378,1,,www.amazon.in,,
SS00003377,1,,www.amazon.in,,
SS00003376,1,,www.amazon.in,,
SS00003371,1,,www.amazon.in,,
SS00003370,1,,www.amazon.in,,
SS00003369,1,,www.amazon.in,,
